season,week,away_team,home_team,model_spread_home,sigma,vegas_spread_home,blended_spread_home,edge_bin,alpha
2025,16,LA,SEA,1.37,10.66,,,no_vegas,
2025,16,PHI,WAS,-5.38,10.66,,,no_vegas,
2025,16,GB,CHI,-0.47,10.66,,,no_vegas,
2025,16,TB,CAR,-3.99,10.66,,,no_vegas,
2025,16,BUF,CLE,-9.47,10.66,,,no_vegas,
2025,16,LAC,DAL,2.76,10.66,,,no_vegas,
2025,16,CIN,MIA,2.37,10.66,,,no_vegas,
2025,16,NYJ,NO,3.95,10.66,,,no_vegas,
2025,16,MIN,NYG,-3.01,10.66,,,no_vegas,
2025,16,KC,TEN,-5.82,10.66,,,no_vegas,
2025,16,ATL,ARI,0.95,10.66,,,no_vegas,
2025,16,JAX,DEN,4.19,10.66,,,no_vegas,
2025,16,PIT,DET,5.13,10.66,,,no_vegas,
2025,16,LV,HOU,11.27,10.66,,,no_vegas,
2025,16,NE,BAL,2.03,10.66,,,no_vegas,
2025,16,SF,IND,0.82,10.66,,,no_vegas,
