season,week,home_team,away_team,model_spread,sigma,z,p_home_win,actual_margin,home_win,vegas_spread_home,spread_err,home_cover,z_cover,p_home_cover,edge_pts,abs_edge_pts,side,p_best,win
2020,1,DEN,TEN,-4.553931156,11.795317117007238,-0.386079587,0.4101707995985551,-2,0,-3.0,-2.553931156,0,-0.6404178099720831,0.35319220222671394,-1.553931156,1.553931156,AWAY,0.646807797773286,1
2020,1,NYG,PIT,-5.667003667,11.795317117007238,-0.480445215,0.3887360545678763,-10,0,-6.0,4.332996333,0,-0.9891216616955361,0.2803384848902347,0.33299633299999964,0.33299633299999964,AWAY,0.7196615151097653,1
2020,1,LA,DAL,-1.492517967,11.795317117007238,-0.126534789,0.4703332324269725,3,1,1.0,-4.4925179669999995,1,-0.04175538157340901,0.49020216920058657,-2.492517967,2.492517967,AWAY,0.5097978307994134,0
2020,1,SF,ARI,9.631411748799568,11.795317117007238,0.8165453843468427,0.6845003546271429,-4,0,7.0,13.631411748799568,1,1.4100012389509513,0.7965644828353342,2.631411748799568,2.631411748799568,HOME,0.7965644828353342,1
2020,1,NO,TB,0.78980464,11.795317117007238,0.06695917,0.515709376,11,1,4.0,-10.21019536,1,0.40607680085970344,0.594396304055607,-3.21019536,3.21019536,HOME,0.594396304055607,1
2020,1,CIN,LAC,3.728933793450985,11.795317117007238,0.3161367987363706,0.5737630420729893,-3,0,-2.5,6.7289337934509845,0,0.10418827923490333,0.5244347669101869,6.2289337934509845,6.2289337934509845,HOME,0.5244347669101869,0
2020,1,WAS,PHI,-8.20141851,11.795317117007238,-0.695311404,0.3412673690214195,10,1,-5.5,-18.20141851,1,-1.1615981473058001,0.2472108494778169,-2.70141851,2.70141851,AWAY,0.7527891505221831,0
2020,1,NE,MIA,10.75327641,11.795317117007238,0.9116564062685218,0.7041134922982466,10,1,7.5,0.7532764099999998,1,1.5475019644602233,0.8186665946627025,3.25327641,3.25327641,HOME,0.8186665946627025,1
2020,1,MIN,GB,1.5049611241666383,11.795317117007238,0.1275897128697531,0.5299136379749647,-9,0,1.0,10.504961124166638,0,0.2123691206703401,0.5497077499946112,0.5049611241666383,0.5049611241666383,HOME,0.5497077499946112,0
2020,1,DET,CHI,-0.297898813,11.795317117007238,-0.025255685,0.4940734176777587,-4,0,2.5,3.7021011870000002,0,0.18669283455082955,0.5437236635082568,-2.7978988129999998,2.7978988129999998,HOME,0.5437236635082568,0
2020,1,CAR,LV,-3.487717766,11.795317117007238,-0.295686647,0.4309589324443734,-4,0,-3.0,0.5122822340000002,0,-0.5500248701788267,0.37314162968035325,-0.48771776599999983,0.48771776599999983,AWAY,0.6268583703196468,1
2020,1,BUF,NYJ,7.577248507,11.795317117007238,0.6423946412143257,0.6472398328664446,10,1,6.5,-2.422751493,1,1.1934607918851565,0.7586715686717752,1.0772485070000002,1.0772485070000002,HOME,0.7586715686717752,1
2020,1,BAL,CLE,13.03291654095875,11.795317117007238,1.1049229462569568,0.7421392500201337,32,1,7.0,-18.96708345904125,1,1.6983788008610654,0.8411138814922217,6.03291654095875,6.03291654095875,HOME,0.8411138814922217,1
2020,1,ATL,SEA,-1.009189707,11.795317117007238,-0.085558506,0.479930293,-13,0,1.0,11.990810293,0,-0.0007790979173209076,0.49981716759475775,-2.009189707,2.009189707,AWAY,0.5001828324052422,1
2020,1,KC,HOU,8.483862939710837,11.795317117007238,0.7192568758900313,0.6638860326348047,14,1,9.5,-5.516137060289163,1,1.5246612499956074,0.815103068936289,-1.0161370602891626,1.0161370602891626,HOME,0.815103068936289,1
2020,1,JAX,IND,-6.464950113,11.795317117007238,-0.548094642,0.37357158,7,1,-7.0,-13.464950113,0,-1.1415504966445862,0.25095093671095375,0.5350498869999996,0.5350498869999996,AWAY,0.7490490632890463,1
2020,2,TB,CAR,11.17324985060963,11.805418853284118,0.9464509467617384,0.7111460408084288,14,1,7.5,-2.826750149390371,1,1.581752420873654,0.8239290148355041,3.673249850609629,3.673249850609629,HOME,0.8239290148355041,1
2020,2,LV,NO,-6.724777469,11.805418853284118,-0.569634805,0.3687826347337554,10,1,-4.0,-16.724777469,1,-0.908462258077061,0.2965360190161116,-2.724777469,2.724777469,AWAY,0.7034639809838884,0
2020,2,SEA,NE,-0.004408177,11.805418853284118,-0.000373403,0.4999123728416509,5,1,4.0,-5.004408177,1,0.33845405001352213,0.5789040698258228,-4.004408177,4.004408177,HOME,0.5789040698258228,1
2020,2,HOU,BAL,-11.3459728,11.805418853284118,-0.961081766,0.285920509987798,-17,0,-7.5,5.6540272,0,-1.5963832401217417,0.17385280259482383,-3.8459728,3.8459728,AWAY,0.8261471974051762,1
2020,2,ARI,WAS,5.985094779434517,11.805418853284118,0.5069786048099039,0.6172334045648162,15,1,7.5,-9.014905220565483,1,1.1422800789218193,0.7491856971666337,-1.514905220565483,1.514905220565483,HOME,0.7491856971666337,1
2020,2,TEN,JAX,6.207004169326964,11.805418853284118,0.5257758531456301,0.6214456954628856,3,1,7.0,3.2070041693269644,1,1.1187238956500847,0.7447543491903211,-0.7929958306730356,0.7929958306730356,HOME,0.7447543491903211,1
2020,2,PIT,DEN,5.014357609442258,11.805418853284118,0.424750504,0.5986495763498387,5,1,6.0,0.014357609442257946,1,0.9329916834232613,0.7084350405814845,-0.985642390557742,0.985642390557742,HOME,0.7084350405814845,1
2020,2,LAC,KC,-7.500095731,11.805418853284118,-0.635309583,0.3543094769873012,-3,0,-8.5,-4.500095731,0,-1.3553179205114758,0.21265413535502997,0.999904269,0.999904269,AWAY,0.78734586464497,1
