season,week,home_team,away_team,model_spread,sigma,z,p_home_win,actual_margin,home_win,vegas_spread_home,z_cover,p_home_cover,home_cover,edge_pts,abs_edge_pts,p_best,side,ev_per_unit,kelly_raw,kelly_capped,stake_frac,win,bankroll,p_home_cover_cal
2020,4,GB,ATL,7.640992282819121,12.126695025260716,0.630096846,0.6445490954951719,14,1,5.0,1.0424103398730724,0.7301221801314967,1,2.640992282819121,2.640992282819121,0.7301221801314967,HOME,0.3938696166146754,0.433256578276143,0.05,0.0125,1,127.60186068846396,0.8518518518518519
2020,4,SF,PHI,7.113534794503018,12.126695025260716,0.5866012775686243,0.6349752082383714,-5,0,8.5,1.2875342178539977,0.7755868071242288,1,-1.3864652054969824,1.3864652054969824,0.7755868071242288,HOME,0.4806657226917095,0.5287322949608805,0.05,0.0125,1,129.05188183265108,0.9159663865546218
2020,4,LV,BUF,-1.886518853,12.126695025260716,-0.155567436,0.4635435784537626,-7,0,-3.0,-0.4029555326344939,0.4063157241315389,0,1.113481147,1.113481147,0.5936842758684611,AWAY,0.1333972539306983,0.1467369793237682,0.05,0.0125,1,130.5183804898403,0.17857142857142858
2020,4,CHI,IND,-6.095270163,12.126695025260716,-0.502632428,0.3837425312681171,-8,0,-3.5,-0.7912518739040119,0.3208073816681752,0,-2.5952701630000004,2.5952701630000004,0.6791926183318248,AWAY,0.2966404531789381,0.326304498496832,0.05,0.0125,1,132.00154390449757,0.16783216783216784
2020,4,LA,NYG,11.504299302024824,12.126695025260716,0.948675569,0.711592985,8,1,13.5,2.0619220034757366,0.8874150728570407,1,-1.995700697975176,1.995700697975176,0.8874150728570407,HOME,0.6941560481816231,0.7635716529997855,0.05,0.0125,1,133.50156144886685,1.0
2020,4,WAS,BAL,-18.95083272,12.126695025260716,-1.562736812,0.1789805952119798,-14,0,-14.5,-2.758445945108678,0.0523358379629171,0,-4.450832720000001,4.450832720000001,0.9476641620370828,AWAY,0.809177036616249,0.8900947402778738,0.05,0.0125,1,135.01862464714944,0.0
2020,4,HOU,MIN,-1.409094269,12.126695025260716,-0.116197716,0.4727528754980622,-8,0,3.5,0.1724217296340432,0.540393274308795,0,-4.909094269,4.909094269,0.540393274308795,HOME,0.0316598873167904,0.0348258760484695,0.0348258760484695,0.0087064690121173,0,133.8430891756003,0.5333333333333333
2020,4,MIA,SEA,-7.342212958,12.126695025260716,-0.605458696,0.3608633030558628,-8,0,-4.5,-0.9765408409572336,0.2828364702538765,0,-2.842212958,2.842212958,0.7171635297461234,AWAY,0.3691303749698719,0.4060434124668591,0.05,0.0125,1,135.36403337077758,0.11904761904761904
2020,4,DET,NO,-7.270696993,12.126695025260716,-0.599561297,0.3621630093812819,-6,0,-3.0,-0.8469493931863094,0.3091695941814202,0,-4.270696993,4.270696993,0.6908304058185798,AWAY,0.3188580474718341,0.3507438522190175,0.05,0.0125,1,136.90226102271822,0.16783216783216784
2020,4,DAL,CLE,5.8759136751066725,12.126695025260716,0.4845436999006532,0.6121877759985144,-11,0,3.5,0.7731631459005128,0.675374100588986,0,2.3759136751066725,2.3759136751066725,0.675374100588986,HOME,0.2893505556698822,0.3182856112368704,0.05,0.0125,0,135.19098275993423,0.7419354838709677
2020,4,CIN,JAX,3.381073819769023,12.126695025260716,0.2788124722132469,0.5651373158739339,8,1,1.0,0.3612751710703496,0.584147286170274,1,2.381073819769023,2.381073819769023,0.584147286170274,HOME,0.1151902735977957,0.1267093009575753,0.05,0.0125,1,136.72724392766077,0.7284768211920529
2020,4,NYJ,DEN,-4.65366628,12.126695025260716,-0.383753881,0.4107027650241228,-9,0,1.0,-0.3012911821719907,0.429663823943854,0,-5.65366628,5.65366628,0.5703361760561461,AWAY,0.0888236088344606,0.0977059697179066,0.05,0.0125,1,138.28096260865692,0.23529411764705882
2020,5,TEN,BUF,-1.096774825,12.068836286738891,-0.090876601,0.4786839652963388,26,1,-3.0,-0.3394506916546289,0.4208666493564137,1,1.903225175,1.903225175,0.5791333506435863,AWAY,0.1056182148650283,0.1161800363515311,0.05,0.0125,0,136.5524505760487,0.2222222222222222
2020,5,NO,LAC,5.923290050903372,12.068836286738891,0.4907921451724238,0.6135950015138343,3,1,7.0,1.0707983556876437,0.7356139037850451,1,-1.076709949096628,1.076709949096628,0.7356139037850451,HOME,0.4043538163169042,0.4447891979485947,0.05,0.0125,1,138.10418296895836,0.8518518518518519
2020,5,SEA,MIN,1.4991519118437515,12.068836286738891,0.1242167741964487,0.5291242718816072,1,1,6.5,0.662793969674867,0.651686916585954,1,-5.000848088156248,5.000848088156248,0.651686916585954,HOME,0.2441295680277303,0.2685425248305034,0.05,0.0125,1,139.6735486845147,0.7419354838709677
2020,5,DAL,NYG,9.162321498782218,12.068836286738891,0.7591719102901145,0.6724078379637396,3,1,7.5,1.380607135842136,0.7916391401288286,1,1.6623214987822177,1.6623214987822177,0.7916391401288286,HOME,0.511311085700491,0.5624421942705401,0.05,0.0125,1,141.2607481013842,0.9159663865546218
