season,week,away_team,home_team,model_spread_home,sigma,vegas_spread_home,blended_spread_home,edge_bin,alpha
2025,9,BAL,MIA,-4.45,6.71,,,no_vegas,
2025,9,CHI,CIN,1.39,6.71,,,no_vegas,
2025,9,MIN,DET,6.42,6.71,,,no_vegas,
2025,9,CAR,GB,13.76,6.71,,,no_vegas,
2025,9,DEN,HOU,-6.23,6.71,,,no_vegas,
2025,9,ATL,NE,4.01,6.71,,,no_vegas,
2025,9,SF,NYG,-2.45,6.71,,,no_vegas,
2025,9,IND,PIT,6.58,6.71,,,no_vegas,
2025,9,LAC,TEN,-7.09,6.71,,,no_vegas,
2025,9,NO,LA,6.45,6.71,,,no_vegas,
2025,9,JAX,LV,2.12,6.71,,,no_vegas,
2025,9,KC,BUF,2.85,6.71,,,no_vegas,
2025,9,SEA,WAS,0.49,6.71,,,no_vegas,
2025,9,ARI,DAL,7.86,6.71,,,no_vegas,
