season,week,away_team,home_team,model_spread_home,sigma,vegas_spread_home,blended_spread_home,edge_bin,alpha
2025,13,GB,DET,2.97,6.57,,,no_vegas,
2025,13,KC,DAL,-1.24,6.57,,,no_vegas,
2025,13,CIN,BAL,9.17,6.57,,,no_vegas,
2025,13,CHI,PHI,8.34,6.57,,,no_vegas,
2025,13,LA,CAR,-8.28,6.57,,,no_vegas,
2025,13,SF,CLE,-6.68,6.57,,,no_vegas,
2025,13,HOU,IND,-0.34,6.57,,,no_vegas,
2025,13,NO,MIA,5.04,6.57,,,no_vegas,
2025,13,ATL,NYJ,-2.8,6.57,,,no_vegas,
2025,13,ARI,TB,5.53,6.57,,,no_vegas,
2025,13,JAX,TEN,-2.62,6.57,,,no_vegas,
2025,13,MIN,SEA,3.22,6.57,,,no_vegas,
2025,13,LV,LAC,7.45,6.57,,,no_vegas,
2025,13,BUF,PIT,-2.18,6.57,,,no_vegas,
2025,13,DEN,WAS,-2.24,6.57,,,no_vegas,
2025,13,NYG,NE,6.36,6.57,,,no_vegas,
