season,week,home_team,away_team,closing_spread_home
2018,1,PHI,ATL,1.0
2018,1,BAL,BUF,7.5
2018,1,CLE,PIT,-3.5
2018,1,IND,CIN,-1.0
2018,1,MIA,TEN,-1.0
2018,1,MIN,SF,6.0
2018,1,NE,HOU,6.0
2018,1,NO,TB,10.0
2018,1,NYG,JAX,-2.5
2018,1,LAC,KC,3.5
2018,1,ARI,WAS,2.0
2018,1,CAR,DAL,2.5
2018,1,DEN,SEA,3.0
2018,1,GB,CHI,6.5
2018,1,DET,NYJ,7.0
2018,1,OAK,LA,-6.0
2018,2,CIN,BAL,1.0
2018,2,ATL,CAR,5.5
2018,2,BUF,LAC,-7.5
2018,2,GB,MIN,-2.0
2018,2,NO,CLE,10.0
2018,2,NYJ,MIA,3.0
2018,2,PIT,KC,4.5
2018,2,TB,PHI,-3.0
2018,2,TEN,HOU,-3.5
2018,2,WAS,IND,6.0
2018,2,LA,ARI,13.5
2018,2,SF,DET,6.0
2018,2,DEN,OAK,5.5
2018,2,JAX,NE,-2.0
2018,2,DAL,NYG,3.0
2018,2,CHI,SEA,5.0
2018,3,CLE,NYJ,3.0
2018,3,ATL,NO,1.5
2018,3,BAL,DEN,5.5
2018,3,CAR,CIN,2.5
2018,3,HOU,NYG,6.5
2018,3,JAX,TEN,10.0
2018,3,KC,SF,6.0
2018,3,MIA,OAK,3.0
2018,3,MIN,BUF,16.5
2018,3,PHI,IND,6.5
2018,3,WAS,GB,-2.5
2018,3,LA,LAC,7.5
2018,3,ARI,CHI,-6.0
2018,3,SEA,DAL,1.0
2018,3,DET,NE,-7.0
2018,3,TB,PIT,1.0
2018,4,LA,MIN,7.5
2018,4,ATL,CIN,3.5
2018,4,CHI,TB,3.0
2018,4,DAL,DET,2.5
2018,4,GB,BUF,8.5
2018,4,IND,HOU,-1.0
2018,4,JAX,NYJ,7.5
2018,4,NE,MIA,6.5
2018,4,TEN,PHI,-3.0
2018,4,ARI,SEA,-3.5
2018,4,OAK,CLE,2.5
2018,4,LAC,SF,10.0
2018,4,NYG,NO,-3.5
2018,4,PIT,BAL,3.0
2018,4,DEN,KC,-3.5
2018,5,NE,IND,10.5
2018,5,BUF,TEN,-6.0
2018,5,CAR,NYG,7.0
2018,5,CIN,MIA,6.0
2018,5,CLE,BAL,-3.0
2018,5,DET,GB,1.0
2018,5,KC,JAX,3.0
2018,5,NYJ,DEN,-1.0
2018,5,PIT,ATL,3.5
2018,5,LAC,OAK,5.5
2018,5,PHI,MIN,3.5
2018,5,SEA,LA,-7.5
2018,5,SF,ARI,3.0
2018,5,HOU,DAL,3.5
2018,5,NO,WAS,5.5
2018,6,NYG,PHI,-1.5
2018,6,ATL,TB,3.0
2018,6,CIN,PIT,1.0
2018,6,CLE,LAC,1.0
2018,6,HOU,BUF,10.5
2018,6,MIA,CHI,-7.5
2018,6,MIN,ARI,10.0
2018,6,NYJ,IND,2.5
2018,6,OAK,SEA,-3.0
2018,6,WAS,CAR,-1.0
2018,6,DEN,LA,-7.0
2018,6,DAL,JAX,-3.0
2018,6,TEN,BAL,-2.5
2018,6,NE,KC,4.0
2018,6,GB,SF,9.0
2018,7,ARI,DEN,-1.0
2018,7,CHI,NE,-1.0
2018,7,IND,BUF,7.0
2018,7,JAX,HOU,4.0
2018,7,MIA,DET,-3.0
2018,7,NYJ,MIN,-3.5
2018,7,PHI,CAR,5.0
2018,7,TB,CLE,3.5
2018,7,BAL,NO,2.5
2018,7,SF,LA,-8.0
2018,7,WAS,DAL,-1.5
2018,7,KC,CIN,6.5
2018,7,LAC,TEN,6.5
2018,7,ATL,NYG,4.5
2018,8,HOU,MIA,7.5
2018,8,CAR,BAL,-2.5
2018,8,CHI,NYJ,8.5
2018,8,CIN,TB,3.5
2018,8,DET,SEA,3.0
2018,8,KC,DEN,8.5
2018,8,NYG,WAS,-1.0
2018,8,PIT,CLE,8.5
2018,8,OAK,IND,-3.5
2018,8,ARI,SF,-2.5
2018,8,LA,GB,7.5
2018,8,MIN,NO,-2.5
2018,8,JAX,PHI,-4.0
2018,8,BUF,NE,-13.5
2018,9,SF,OAK,-1.5
2018,9,BAL,PIT,1.5
2018,9,BUF,CHI,-10.5
2018,9,CAR,TB,6.0
2018,9,CLE,KC,-7.5
2018,9,MIA,NYJ,3.0
2018,9,MIN,DET,4.5
2018,9,WAS,ATL,1.5
2018,9,DEN,HOU,1.0
2018,9,SEA,LAC,1.0
2018,9,NO,LA,-2.5
2018,9,NE,GB,5.0
2018,9,DAL,TEN,4.5
2018,10,PIT,CAR,3.5
2018,10,CHI,DET,7.5
2018,10,CIN,NO,-5.5
2018,10,CLE,ATL,-5.5
2018,10,IND,JAX,3.0
2018,10,KC,ARI,16.5
2018,10,NYJ,BUF,6.5
2018,10,TB,WAS,3.5
2018,10,TEN,NE,-6.0
2018,10,OAK,LAC,-10.5
2018,10,GB,MIA,13.0
2018,10,LA,SEA,10.0
2018,10,PHI,DAL,7.5
2018,10,SF,NYG,3.0
2018,11,SEA,GB,3.0
2018,11,ATL,DAL,3.5
2018,11,BAL,CIN,6.5
2018,11,DET,CAR,-4.0
2018,11,IND,TEN,2.0
2018,11,JAX,PIT,-4.0
2018,11,NYG,TB,3.0
2018,11,WAS,HOU,-3.0
2018,11,ARI,OAK,4.5
2018,11,LAC,DEN,7.5
2018,11,NO,PHI,7.0
2018,11,CHI,MIN,2.5
2018,11,LA,KC,3.0
2018,12,DET,CHI,-3.0
2018,12,DAL,WAS,7.0
2018,12,NO,ATL,11.5
2018,12,BAL,OAK,13.0
2018,12,BUF,JAX,-3.0
2018,12,CAR,SEA,3.0
2018,12,CIN,CLE,-1.0
2018,12,NYJ,NE,-13.0
2018,12,PHI,NYG,4.5
2018,12,TB,SF,1.5
2018,12,LAC,ARI,14.0
