season,week,away_team,home_team,model_spread_home,sigma,vegas_spread_home,blended_spread_home,edge_bin,alpha
2025,14,DAL,DET,3.76,6.56,,,no_vegas,
2025,14,SEA,ATL,-1.22,6.56,,,no_vegas,
2025,14,PIT,BAL,6.49,6.56,,,no_vegas,
2025,14,CIN,BUF,8.62,6.56,,,no_vegas,
2025,14,TEN,CLE,6.22,6.56,,,no_vegas,
2025,14,IND,JAX,-1.65,6.56,,,no_vegas,
2025,14,WAS,MIN,3.54,6.56,,,no_vegas,
2025,14,MIA,NYJ,-2.34,6.56,,,no_vegas,
2025,14,NO,TB,5.18,6.56,,,no_vegas,
2025,14,DEN,LV,-4.12,6.56,,,no_vegas,
2025,14,LA,ARI,-3.72,6.56,,,no_vegas,
2025,14,CHI,GB,7.55,6.56,,,no_vegas,
2025,14,HOU,KC,7.34,6.56,,,no_vegas,
2025,14,PHI,LAC,-0.9,6.56,,,no_vegas,
