season,week,away_team,home_team,model_spread_home,sigma,vegas_spread_home,blended_spread_home,edge_bin,alpha
2025,11,NYJ,NE,7.68,6.64,,,no_vegas,
2025,11,WAS,MIA,5.07,6.64,,,no_vegas,
2025,11,CAR,ATL,7.12,6.64,,,no_vegas,
2025,11,TB,BUF,8.03,6.64,,,no_vegas,
2025,11,LAC,JAX,-3.37,6.64,,,no_vegas,
2025,11,CHI,MIN,4.65,6.64,,,no_vegas,
2025,11,GB,NYG,-5.7,6.64,,,no_vegas,
2025,11,CIN,PIT,4.37,6.64,,,no_vegas,
2025,11,HOU,TEN,0.59,6.64,,,no_vegas,
2025,11,SF,ARI,-5.58,6.64,,,no_vegas,
2025,11,SEA,LA,3.17,6.64,,,no_vegas,
2025,11,BAL,CLE,-9.07,6.64,,,no_vegas,
2025,11,KC,DEN,-2.69,6.64,,,no_vegas,
2025,11,DET,PHI,1.49,6.64,,,no_vegas,
2025,11,DAL,LV,-4.18,6.64,,,no_vegas,
