season,week,away_team,home_team,model_spread_home,sigma,vegas_spread_home,blended_spread_home,edge_bin,alpha
2025,1,DAL,PHI,2.96,6.81,,,no_vegas,
2025,1,KC,LAC,-2.56,6.81,,,no_vegas,
2025,1,TB,ATL,-1.07,6.81,,,no_vegas,
2025,1,CIN,CLE,-4.44,6.81,,,no_vegas,
2025,1,MIA,IND,-3.25,6.81,,,no_vegas,
2025,1,CAR,JAX,5.67,6.81,,,no_vegas,
2025,1,LV,NE,2.92,6.81,,,no_vegas,
2025,1,ARI,NO,0.07,6.81,,,no_vegas,
2025,1,PIT,NYJ,-7.49,6.81,,,no_vegas,
2025,1,NYG,WAS,3.03,6.81,,,no_vegas,
2025,1,TEN,DEN,10.24,6.81,,,no_vegas,
2025,1,SF,SEA,-3.45,6.81,,,no_vegas,
2025,1,DET,GB,1.57,6.81,,,no_vegas,
2025,1,HOU,LA,4.17,6.81,,,no_vegas,
2025,1,BAL,BUF,1.0,6.81,,,no_vegas,
2025,1,MIN,CHI,-1.14,6.81,,,no_vegas,
