qb_name,qb_value_shrunk
B.Hoyer,0.7161527275439055
Jos.Allen,1.0442836368672528
Aa.Rodgers,1.4286637582808206
P.Mahomes,4.980387784779446
D.Kizer,0.44692195831313625
T.Brady,4.145460448696257
L.Jackson,4.235067593041417
B.Purdy,3.3608475867322207
D.Brees,3.1624909112942317
J.Allen,3.605543437281198
P.Rivers,2.6511014164916245
D.Prescott,2.970613184682501
J.Hurts,2.5409692718580406
A.Rodgers,2.697175684682501
J.Garoppolo,1.8794898206495394
B.Nix,1.468510439668947
J.Goff,1.9781456489017017
A.Luck,0.9239941832283084
B.Roethlisberger,1.4983236387138472
K.Cousins,1.5758342965807823
S.Thompson,0.13922965062082854
T.Lance,0.25856935115296714
J.Love,1.1123435316928516
D.Watson,1.2214181843362648
T.Tagovailoa,1.2860673110737264
M.Willis,0.32866375828082084
M.Penix,0.4922173749124792
S.Ehlinger,0.18714077972439583
T.McKee,0.10076811215929007
J.Daniels,0.6047756538599338
C.Wentz,0.9329678943080207
R.Wilson,0.941416799390624
J.Burrow,0.7291196864001348
J.Herbert,0.7130392632089191
C.Stroud,0.5218659112942318
C.Kessler,0.16199709161415418
B.Mayfield,0.46886115529824607
M.Trubisky,0.344584768966737
M.Rudolph,0.21347130603384692
C.Newton,0.1254749581724078
M.Stafford,0.12760000289391613
D.Ridder,0.06142233917318743
T.Bridgewater,-0.04734205849087086
T.Hill,-0.03800290838584582
B.Bortles,-0.055886629979185094
D.Maye,-0.1366739376312813
R.Tannehill,-0.41981504186744967
D.Carr,-0.5563938078196388
M.Mariota,-0.49375908870576835
K.Murray,-0.6324676208213214
C.Williams,-0.4574154862569792
M.Ryan,-0.6320942397802554
J.Browning,-0.3133381806430764
G.Smith,-0.7708803135998652
T.Huntley,-0.4623871846363364
W.Levis,-0.5863702463314678
M.Jones,-0.9705101793504605
J.McCarthy,-0.3912536354823073
B.Zappe,-0.467651335861538
D.Hodges,-0.24143064884703272
E.Manning,-0.8363702463314678
K.Pickett,-0.8952243461400664
S.Darnold,-1.5272044629265844
B.Rypien,-0.2771449345613184
T.Siemian,-0.4850036354823073
A.Smith,-0.8433395655887173
T.Lawrence,-1.4904191439057441
J.Brissett,-1.4322319168417084
D.Gabriel,-0.31285922027560414
N.Mullens,-1.0950072709646146
T.Bagent,-0.5046695750525125
J.Wolford,-0.5046695750525125
A.Richardson,-0.9647421996581371
K.Allen,-1.0510058167716918
A.Dalton,-1.8904980906328694
D.Jones,-2.166307606685697
G.Minshew,-1.7473420584908708
J.Winston,-1.923948647894358
J.Flacco,-2.0743341499521817
T.Heinicke,-1.7166747455162386
M.Barkley,-0.2453857339945561
A.O'Connell,-1.367149089398241
C.Keenum,-1.8138539841157386
J.Fields,-2.251676361286153
T.Shough,-0.7046695750525125
D.Thompson-Robinson,-0.9225036354823073
S.Bradford,-0.5271449345613184
R.Griffin III,-0.2838472724560946
G.Minshew II,-1.3594790417634002
C.Beathard,-0.9537536354823075
E.Stick,-0.7713362417191794
B.Osweiler,-0.8380029083858459
B.Cook,-0.322308810917633
N.Foles,-1.5436895680791896
T.Taylor,-1.7510058167716918
S.Sanders,-0.9046695750525127
I.Book,-0.3607703493791715
J.Milton,-0.3607703493791715
M.Sanchez,-0.3607703493791715
J.Driskel,-1.379416041743891
D.Lock,-2.5638539841157386
J.Dart,-1.2350036354823075
J.McCown,-0.7057163631327471
S.Rattler,-2.0010058167716918
Ty.Taylor,-0.39923188784070995
C.Rush,-2.3433395655887175
R.Fitzpatrick,-2.782507270964615
S.Howell,-2.3909586132077654
B.Gabbert,-0.8485735059898898
Z.Wilson,-3.490698179751617
B.Young,-3.8062590887057683
T.DeVito,-1.6725036354823073
J.Rosen,-2.701005816771692
J.Stidham,-1.3713362417191794
M.Moore,-0.9914306488470327
D.Haskins,-2.5700053575528736
C.McCoy,-2.0558866299791854
M.White,-1.4046695750525127
S.Mannion,-0.5530780416868638
J.Johnson,-0.5915395801484022
J.Fromm,-0.5915395801484022
J.Dobbs,-2.8857948312370847
C.Daniel,-1.1700020774184614
L.Falk,-0.6300011186099408
B.Allen,-2.1100036354823075
P.Walker,-2.1725036354823075
C.Henne,-0.6684626570714792
C.Ward,-3.3594790417633993
D.Mills,-5.480675391824206
M.Schaub,-0.7069241955330178
T.McSorley,-0.7069241955330178
D.Blough,-1.9713362417191793
N.Peterman,-1.455716363132747
J.Luton,-1.5271449345613184
T.Boyle,-2.2046695750525127
M.Glennon,-2.238002908385846
A.McCarron,-0.8992318878407101
R.Finley,-2.3713362417191792
D.Anderson,-1.1684626570714793
G.Gilbert,-1.2069241955330177
K.Hinton,-1.4376934263022485
