season,week,away_team,home_team,closing_spread_home,model_spread,raw_edge,norm_edge,bet_side,won
2021,3,ATL,NYG,3.0,0.2997404492147639,-2.700259550785236,-0.3857513643978909,ATL -3.0,True
2018,11,KC,LA,3.0,0.2979656665334961,-2.702034333466504,-0.38600490478092914,KC -3.0,False
2022,2,SEA,SF,8.5,5.214687944553696,-3.285312055446304,-0.3865073006407416,SEA -8.5,False
2023,17,PIT,SEA,4.5,1.7920646498796735,-2.7079353501203265,-0.38684790716004663,PIT -4.5,True
2018,8,SF,ARI,-2.5,-5.228061800814396,-2.7280618008143964,-0.38972311440205665,SF +2.5,False
2022,7,GB,WAS,-4.0,-6.743962029036362,-2.7439620290363624,-0.3919945755766232,GB +4.0,False
2020,10,TB,CAR,-6.0,-8.750208009857207,-2.7502080098572073,-0.3928868585510296,TB +6.0,True
2019,16,ARI,SEA,8.0,4.846648964175393,-3.153351035824607,-0.3941688794780759,ARI -8.0,True
2019,6,PHI,MIN,3.5,0.7394643620850646,-2.7605356379149355,-0.3943622339878479,PHI -3.5,False
2018,8,TB,CIN,3.5,0.7301427536858324,-2.7698572463141677,-0.3956938923305954,TB -3.5,False
2021,14,LA,ARI,3.0,0.2240165999921045,-2.7759834000078953,-0.39656905714398505,LA -3.0,True
2024,3,LAC,PIT,3.0,0.2121417912967607,-2.7878582087032395,-0.39826545838617705,LAC -3.0,False
2019,14,LAC,JAX,-3.5,-6.297336662291462,-2.797336662291462,-0.3996195231844946,LAC +3.5,True
2020,11,DAL,MIN,7.0,4.200548368473897,-2.799451631526103,-0.3999216616465861,DAL -7.0,True
2021,5,BUF,KC,2.5,-0.3005237231812178,-2.8005237231812177,-0.40007481759731683,BUF -2.5,True
2022,14,BAL,PIT,1.5,-1.311063638938306,-2.8110636389383057,-0.4015805198483294,BAL -1.5,True
2019,13,GB,NYG,-6.5,-9.31531393963068,-2.8153139396306806,-0.4021877056615258,GB +6.5,True
2021,7,KC,TEN,-4.0,-6.84969096059607,-2.84969096059607,-0.40709870865658143,KC +4.0,False
2020,11,DET,CAR,-3.0,-5.879904094791021,-2.879904094791021,-0.41141487068443156,DET +3.0,False
2019,1,SF,TB,1.0,-1.8857714563556924,-2.8857714563556924,-0.41225306519367033,SF -1.0,True
2020,13,CLE,TEN,4.0,1.109830359557654,-2.890169640442346,-0.41288137720604945,CLE -4.0,True
2020,1,GB,MIN,1.0,-1.8906898218470745,-2.8906898218470745,-0.4129556888352964,GB -1.0,True
2018,11,OAK,ARI,4.5,1.6085938015109782,-2.8914061984890216,-0.41305802835557454,OAK -4.5,True
2019,4,OAK,IND,5.5,2.6036123017845725,-2.8963876982154275,-0.4137696711736325,OAK -5.5,True
2023,6,IND,JAX,4.0,1.1002346129047136,-2.8997653870952864,-0.41425219815646946,IND -4.0,False
2019,10,ARI,TB,5.5,2.593920419448432,-2.906079580551568,-0.4151542257930811,ARI -5.5,False
2023,4,ATL,JAX,3.5,0.5800702149826363,-2.9199297850173638,-0.417132826431052,ATL -3.5,False
2020,3,LV,NE,7.0,4.057598479167193,-2.9424015208328074,-0.42034307440468677,LV -7.0,False
2021,7,NYJ,NE,7.0,4.057221163832691,-2.9427788361673093,-0.4203969765953299,NYJ -7.0,False
2022,7,PIT,MIA,7.5,4.345656856258706,-3.1543431437412943,-0.4205790858321726,PIT -7.5,False
2020,6,WAS,NYG,2.0,-0.945380930660234,-2.945380930660234,-0.4207687043800334,WAS -2.0,False
2021,10,KC,LV,-2.5,-5.445593211886893,-2.9455932118868926,-0.42079903026955606,KC +2.5,True
2022,1,CLE,CAR,2.5,-0.4656844159904374,-2.965684415990437,-0.4236692022843482,CLE -2.5,True
2024,17,ARI,LA,6.5,3.533129702149369,-2.966870297850631,-0.42383861397866157,ARI -6.5,False
2021,5,CHI,LV,5.5,2.520133470711228,-2.979866529288772,-0.42569521846982455,CHI -5.5,True
2022,17,MIA,NE,3.0,0.0193641659725884,-2.9806358340274115,-0.42580511914677305,MIA -3.0,False
2021,12,PHI,NYG,-4.0,-6.983975499341872,-2.983975499341872,-0.426282214191696,PHI +4.0,False
2022,2,TB,NO,-2.5,-5.49599982512303,-2.9959998251230298,-0.4279999750175757,TB +2.5,True
2024,3,WAS,CIN,7.5,4.258180499971475,-3.241819500028525,-0.4322426000038033,WAS -7.5,True
2021,6,BUF,TEN,-6.0,-9.028787834848028,-3.0287878348480284,-0.4326839764068612,BUF +6.0,False
2023,1,DAL,NYG,-3.5,-6.533834521239532,-3.033834521239532,-0.43340493160564747,DAL +3.5,True
2022,3,DAL,NYG,1.0,-2.045026293774318,-3.045026293774318,-0.43500375625347404,DAL -1.0,True
2020,2,JAX,TEN,7.0,3.947623106669708,-3.052376893330292,-0.43605384190432744,JAX -7.0,False
2021,6,ARI,CLE,3.0,-0.0537551479598679,-3.0537551479598677,-0.43625073542283826,ARI -3.0,True
2020,13,PHI,GB,8.0,4.508727335002876,-3.4912726649971244,-0.43640908312464055,PHI -8.0,False
2024,12,TEN,HOU,8.0,4.487344975282124,-3.5126550247178763,-0.43908187808973453,TEN -8.0,True
2022,13,GB,CHI,-4.0,-7.091090165887009,-3.0910901658870094,-0.44158430941242993,GB +4.0,True
2023,3,DEN,MIA,6.0,2.903126234050602,-3.096873765949398,-0.44241053799277114,DEN -6.0,False
2019,1,CIN,SEA,9.5,5.279732093182602,-4.220267906817398,-0.4442387270334103,CIN -9.5,False
2019,10,SEA,SF,6.5,3.390189213770205,-3.109810786229795,-0.4442586837471136,SEA -6.5,True
2020,6,DEN,NE,7.0,3.8691324968317713,-3.1308675031682287,-0.4472667861668898,DEN -7.0,True
2023,1,LA,SEA,4.5,1.3675936823132693,-3.1324063176867307,-0.4474866168123901,LA -4.5,True
2024,3,DEN,TB,6.0,2.8538369301411546,-3.1461630698588454,-0.4494518671226922,DEN -6.0,True
2024,4,CIN,CAR,-4.5,-7.647250240379632,-3.1472502403796323,-0.4496071771970903,CIN +4.5,True
2023,18,TB,CAR,-5.0,-8.150057780333603,-3.1500577803336025,-0.45000825433337177,TB +5.0,True
2024,2,TB,DET,7.5,4.059452282453026,-3.4405477175469743,-0.4587396956729299,TB -7.5,True
2023,8,CHI,LAC,9.5,5.11811043294793,-4.38188956705207,-0.4612515333739021,CHI -9.5,False
2021,17,NYG,CHI,7.0,3.768785625243028,-3.231214374756972,-0.4616020535367103,NYG -7.0,False
2024,9,TB,KC,9.0,4.827272352092024,-4.172727647907976,-0.46363640532310846,TB -9.0,False
2019,1,TEN,CLE,5.5,2.254411337222056,-3.245588662777944,-0.46365552325399195,TEN -5.5,True
2021,2,DAL,LAC,3.0,-0.2570346725152213,-3.2570346725152213,-0.46529066750217446,DAL -3.0,True
2024,8,BAL,CLE,-7.5,-10.999425538057872,-3.4994255380578725,-0.46659007174104966,BAL +7.5,False
2023,11,NYG,WAS,7.5,3.965085752174241,-3.534914247825759,-0.47132189971010124,NYG -7.5,True
2018,1,KC,LAC,3.5,0.200491283592992,-3.299508716407008,-0.47135838805814395,KC -3.5,True
