team,qb
ARI,J.Brissett
ATL,K.Cousins
BAL,T.Huntley
BUF,J.Allen
CAR,B.Young
CHI,C.Williams
CIN,J.Burrow
CLE,S.Sanders
DAL,D.Prescott
DEN,B.Nix
DET,J.Goff
GB,M.Willis
HOU,C.Stroud
IND,P.Rivers
JAX,T.Lawrence
KC,C.Oladokun
LA,M.Stafford
LAC,J.Herbert
LV,G.Smith
MIA,Q.Ewers
MIN,J.McCarthy
NE,D.Maye
NO,T.Shough
NYG,J.Dart
NYJ,B.Cook
PHI,J.Hurts
PIT,A.Rodgers
SEA,S.Darnold
SF,B.Purdy
TB,B.Mayfield
TEN,C.Ward
WAS,M.Mariota
