season,week,away_team,home_team,model_spread_home,sigma,vegas_spread_home,blended_spread_home,edge_bin,alpha
2025,7,PIT,CIN,-3.33,6.7,,,no_vegas,
2025,7,LA,JAX,-2.68,6.7,,,no_vegas,
2025,7,NO,CHI,3.56,6.7,,,no_vegas,
2025,7,MIA,CLE,-1.33,6.7,,,no_vegas,
2025,7,LV,KC,11.47,6.7,,,no_vegas,
2025,7,PHI,MIN,0.92,6.7,,,no_vegas,
2025,7,CAR,NYJ,3.25,6.7,,,no_vegas,
2025,7,NE,TEN,-4.09,6.7,,,no_vegas,
2025,7,NYG,DEN,8.03,6.7,,,no_vegas,
2025,7,IND,LAC,5.95,6.7,,,no_vegas,
2025,7,GB,ARI,-4.49,6.7,,,no_vegas,
2025,7,WAS,DAL,5.43,6.7,,,no_vegas,
2025,7,ATL,SF,3.96,6.7,,,no_vegas,
2025,7,TB,DET,5.63,6.7,,,no_vegas,
2025,7,HOU,SEA,2.8,6.7,,,no_vegas,
