season,week,away_team,home_team,model_spread_home,sigma,vegas_spread_home,blended_spread_home,edge_bin,alpha
2025,8,MIN,LAC,0.09,6.7,,,no_vegas,
2025,8,MIA,ATL,1.84,6.7,,,no_vegas,
2025,8,CHI,BAL,5.88,6.7,,,no_vegas,
2025,8,BUF,CAR,-9.81,6.7,,,no_vegas,
2025,8,NYJ,CIN,5.85,6.7,,,no_vegas,
2025,8,SF,HOU,1.65,6.7,,,no_vegas,
2025,8,CLE,NE,4.1,6.7,,,no_vegas,
2025,8,NYG,PHI,10.72,6.7,,,no_vegas,
2025,8,TB,NO,-0.65,6.7,,,no_vegas,
2025,8,DAL,DEN,0.24,6.7,,,no_vegas,
2025,8,TEN,IND,7.4,6.7,,,no_vegas,
2025,8,GB,PIT,0.89,6.7,,,no_vegas,
2025,8,WAS,KC,10.04,6.7,,,no_vegas,
