season,week,away_team,home_team,model_spread_home,sigma,vegas_spread_home,blended_spread_home,edge_bin,alpha
2025,3,MIA,BUF,8.9,6.72,,,no_vegas,
2025,3,ATL,CAR,-4.44,6.72,,,no_vegas,
2025,3,GB,CLE,-6.53,6.72,,,no_vegas,
2025,3,HOU,JAX,-1.08,6.72,,,no_vegas,
2025,3,CIN,MIN,4.62,6.72,,,no_vegas,
2025,3,PIT,NE,-2.47,6.72,,,no_vegas,
2025,3,LA,PHI,5.1,6.72,,,no_vegas,
2025,3,NYJ,TB,9.36,6.72,,,no_vegas,
2025,3,IND,TEN,-1.56,6.72,,,no_vegas,
2025,3,LV,WAS,2.74,6.72,,,no_vegas,
2025,3,DEN,LAC,2.49,6.72,,,no_vegas,
2025,3,NO,SEA,5.21,6.72,,,no_vegas,
2025,3,DAL,CHI,-4.16,6.72,,,no_vegas,
2025,3,ARI,SF,3.38,6.72,,,no_vegas,
2025,3,KC,NYG,-5.96,6.72,,,no_vegas,
2025,3,DET,BAL,6.02,6.72,,,no_vegas,
