away_team,home_team,vegas_spread_home,model_spread_home,sigma,p_home_cover,p_away_cover,chosen_side,p_win,breakeven_p,ev_per_1,bet_side
LV,HOU,-14.5,-7.11,13.5,0.18017221054405697,0.819827789455943,AWAY,0.819827789455943,0.5238095238095238,0.5651257798704367,LV +14.5
BUF,CLE,10.0,3.48,13.5,0.7158584921460471,0.28414150785395287,HOME,0.7158584921460471,0.5238095238095238,0.3666389395515445,CLE +10.0
SF,IND,6.5,3.75,13.5,0.6678058296928382,0.3321941703071618,HOME,0.6678058296928382,0.5238095238095238,0.2749020385045092,IND +6.5
PIT,DET,-7.0,-2.77,13.5,0.33960368964844057,0.6603963103515594,AWAY,0.6603963103515594,0.5238095238095238,0.2607565924893407,PIT +7.0
PHI,WAS,6.5,2.45,13.5,0.6475951659872787,0.35240483401272127,HOME,0.6475951659872787,0.5238095238095238,0.2363180441575321,WAS +6.5
