season,week,away_team,home_team,model_spread_home,sigma,vegas_spread_home,blended_spread_home,edge_bin,alpha
2025,5,SF,LA,3.34,6.73,,,no_vegas,
2025,5,MIN,CLE,-4.13,6.73,,,no_vegas,
2025,5,HOU,BAL,3.08,6.73,,,no_vegas,
2025,5,MIA,CAR,-6.05,6.73,,,no_vegas,
2025,5,LV,IND,1.79,6.73,,,no_vegas,
2025,5,NYG,NO,3.31,6.73,,,no_vegas,
2025,5,DAL,NYJ,-7.09,6.73,,,no_vegas,
2025,5,DEN,PHI,5.33,6.73,,,no_vegas,
2025,5,TEN,ARI,8.82,6.73,,,no_vegas,
2025,5,TB,SEA,2.09,6.73,,,no_vegas,
2025,5,DET,CIN,-3.9,6.73,,,no_vegas,
2025,5,WAS,LAC,4.4,6.73,,,no_vegas,
2025,5,NE,BUF,10.86,6.73,,,no_vegas,
2025,5,KC,JAX,-7.49,6.73,,,no_vegas,
