season,week,away_team,home_team,model_spread_home,sigma,vegas_spread_home,blended_spread_home,edge_bin,alpha
2025,4,SEA,ARI,0.44,6.76,,,no_vegas,
2025,4,MIN,PIT,1.68,6.76,,,no_vegas,
2025,4,WAS,ATL,1.41,6.76,,,no_vegas,
2025,4,NO,BUF,12.87,6.76,,,no_vegas,
2025,4,CLE,DET,11.0,6.76,,,no_vegas,
2025,4,TEN,HOU,8.33,6.76,,,no_vegas,
2025,4,CAR,NE,7.74,6.76,,,no_vegas,
2025,4,LAC,NYG,-4.56,6.76,,,no_vegas,
2025,4,PHI,TB,-1.8,6.76,,,no_vegas,
2025,4,IND,LA,6.82,6.76,,,no_vegas,
2025,4,JAX,SF,11.21,6.76,,,no_vegas,
2025,4,BAL,KC,-0.15,6.76,,,no_vegas,
2025,4,CHI,LV,1.21,6.76,,,no_vegas,
2025,4,GB,DAL,1.29,6.76,,,no_vegas,
2025,4,NYJ,MIA,8.6,6.76,,,no_vegas,
2025,4,CIN,DEN,4.12,6.76,,,no_vegas,
