season,week,away_team,home_team,closing_spread_home,model_spread,edge,edge_bin,confidence,bet_side,won
2020,17,MIA,BUF,-3.5,7.543036540899491,11.043036540899491,huge,STRONG,BUF -3.5,True
2024,18,SEA,LA,-7.5,3.539716823440684,11.039716823440685,huge,STRONG,LA -7.5,False
2020,7,CLE,CIN,-4.5,6.490067514479897,10.990067514479897,huge,STRONG,CIN -4.5,False
2021,8,LA,HOU,-17.0,-6.030823875788099,10.969176124211902,huge,STRONG,HOU -17.0,False
2018,15,GB,CHI,6.0,-4.900837952466692,-10.900837952466691,huge,STRONG,GB -6.0,False
2018,14,CIN,LAC,17.0,6.108419430093557,-10.891580569906443,huge,STRONG,CIN -17.0,False
2020,16,TB,DET,-12.0,-1.1178801892828056,10.882119810717194,huge,STRONG,DET -12.0,False
2021,13,MIN,DET,-7.0,3.876079419989923,10.876079419989923,huge,STRONG,DET -7.0,True
2020,3,TEN,MIN,-3.0,7.84151092417936,10.84151092417936,huge,STRONG,MIN -3.0,False
2021,5,PHI,CAR,2.5,-8.332178930214981,-10.832178930214981,huge,STRONG,PHI -2.5,True
2019,9,NE,BAL,-3.0,7.799165367528784,10.799165367528783,huge,STRONG,BAL -3.0,True
2024,18,NO,TB,14.5,3.7374906295416657,-10.762509370458334,huge,STRONG,NO -14.5,False
2019,10,BUF,CLE,3.0,-7.733519844395951,-10.73351984439595,huge,STRONG,BUF -3.0,False
2019,4,LAC,MIA,-15.0,-4.267347860664683,10.732652139335318,huge,STRONG,MIA -15.0,False
2019,13,WAS,CAR,10.5,-0.186234089301037,-10.686234089301037,huge,STRONG,WAS -10.5,True
2019,16,BUF,NE,7.0,-3.66578512238852,-10.66578512238852,huge,STRONG,BUF -7.0,False
2021,16,BAL,CIN,7.5,-3.132691876194492,-10.632691876194492,huge,STRONG,BAL -7.5,False
2022,11,DET,NYG,3.0,-7.543557235632055,-10.543557235632054,huge,STRONG,DET -3.0,True
2019,13,CHI,DET,-5.5,4.929830749010342,10.429830749010343,huge,STRONG,DET -5.5,False
2019,17,MIA,NE,17.5,7.089685320731773,-10.410314679268227,huge,STRONG,MIA -17.5,True
2018,13,LA,DET,-10.5,-0.1006684195382667,10.399331580461734,huge,STRONG,DET -10.5,False
2019,17,PIT,BAL,-2.0,8.308354395879407,10.308354395879407,huge,STRONG,BAL -2.0,True
2024,15,WAS,NO,-7.5,2.7985907772238243,10.298590777223824,huge,STRONG,NO -7.5,False
2022,13,SEA,LA,-7.0,3.2251848037362505,10.225184803736251,huge,STRONG,LA -7.0,False
2022,17,CAR,TB,3.5,13.688963507400985,10.188963507400985,huge,STRONG,TB +3.5,True
2021,15,GB,BAL,-9.5,0.6749435527490152,10.174943552749015,huge,STRONG,BAL -9.5,False
2018,16,CIN,CLE,10.0,-0.1730200225824227,-10.173020022582422,huge,STRONG,CIN -10.0,False
2019,14,DET,MIN,12.0,1.8374636837507508,-10.162536316249248,huge,STRONG,DET -12.0,False
2021,5,DET,MIN,10.0,-0.1189331178484492,-10.11893311784845,huge,STRONG,DET -10.0,False
2020,9,SEA,BUF,-3.0,7.116787233341155,10.116787233341155,huge,STRONG,BUF -3.0,True
2021,8,GB,ARI,6.5,-3.612477859523927,-10.112477859523928,huge,STRONG,GB -6.5,True
2023,8,JAX,PIT,-2.5,7.608584110740215,10.108584110740214,huge,STRONG,PIT -2.5,False
2021,7,NO,SEA,-6.0,4.0972937193472045,10.097293719347205,huge,STRONG,SEA -6.0,False
2024,4,DEN,NYJ,7.5,-2.5873485492986057,-10.087348549298605,huge,STRONG,DEN -7.5,True
2020,17,SEA,SF,-7.0,3.075657194065772,10.075657194065773,huge,STRONG,SF -7.0,False
