edge_bin,games,best_alpha,blended_accuracy,model_accuracy,vegas_accuracy
small,301,0.0,0.6345514950166113,0.6345514950166113,0.6345514950166113
medium,574,0.1,0.6846689895470384,0.6777003484320557,0.6689895470383276
large,456,0.6000000000000001,0.6754385964912281,0.6535087719298246,0.6600877192982456
huge,524,0.65,0.7156488549618321,0.5877862595419847,0.6755725190839694
