season,week,away_team,home_team,model_spread_home,sigma,vegas_spread_home,blended_spread_home,edge_bin,alpha
2025,17,DAL,WAS,0.79,10.75,7.0,4.83,huge,0.65
2025,17,DET,MIN,0.35,10.75,7.0,4.67,huge,0.65
2025,17,DEN,KC,1.0,10.75,13.5,9.13,huge,0.65
2025,17,HOU,LAC,0.14,10.75,-2.5,-0.13,medium,0.1
2025,17,BAL,GB,3.6,10.75,-2.5,-0.36,huge,0.65
2025,17,SEA,CAR,-5.6,10.75,7.5,2.92,huge,0.65
2025,17,ARI,CIN,2.01,10.75,-7.0,-3.85,huge,0.65
2025,17,PIT,CLE,-0.98,10.75,3.5,1.71,large,0.6000000000000001
2025,17,JAX,IND,1.87,10.75,6.5,4.65,large,0.6000000000000001
2025,17,TB,MIA,0.83,10.75,5.5,3.63,large,0.6000000000000001
2025,17,NE,NYJ,-4.1,10.75,13.5,7.34,huge,0.65
2025,17,NO,TEN,-0.26,10.75,2.5,0.02,medium,0.1
2025,17,NYG,LV,0.48,10.75,-1.5,0.28,medium,0.1
2025,17,PHI,BUF,4.26,10.75,-1.5,0.52,huge,0.65
2025,17,CHI,SF,2.86,10.75,-3.0,-0.95,huge,0.65
2025,17,LA,ATL,-5.65,10.75,7.5,2.9,huge,0.65
