season,week,away_team,home_team,model_spread_home,sigma,vegas_spread_home,blended_spread_home,edge_bin,alpha
2025,2,WAS,GB,6.48,6.76,,,no_vegas,
2025,2,CLE,BAL,14.46,6.76,,,no_vegas,
2025,2,JAX,CIN,5.68,6.76,,,no_vegas,
2025,2,NYG,DAL,7.66,6.76,,,no_vegas,
2025,2,CHI,DET,7.97,6.76,,,no_vegas,
2025,2,NE,MIA,4.33,6.76,,,no_vegas,
2025,2,SF,NO,-1.47,6.76,,,no_vegas,
2025,2,BUF,NYJ,-11.43,6.76,,,no_vegas,
2025,2,SEA,PIT,5.12,6.76,,,no_vegas,
2025,2,LA,TEN,-6.28,6.76,,,no_vegas,
2025,2,CAR,ARI,9.14,6.76,,,no_vegas,
2025,2,DEN,IND,-2.94,6.76,,,no_vegas,
2025,2,PHI,KC,3.25,6.76,,,no_vegas,
2025,2,ATL,MIN,4.84,6.76,,,no_vegas,
2025,2,TB,HOU,0.13,6.76,,,no_vegas,
2025,2,LAC,LV,-2.16,6.76,,,no_vegas,
