season,week,home_team,away_team,model_spread,sigma,actual_margin,closing_spread_home,edge,model_side_correct,vegas_side_correct,edge_bucket,abs_edge,p_home_cover,p_away_cover,ev_home,ev_away,bet_side,bet_ev,won
2018,1,PHI,ATL,7.311769383408926,7.943190336058034,6.0,1.0,6.311769383408926,True,True,"(5, 7]",6.311769383408926,0.7250613293036929,0.27493867069630706,0.38420799230705016,-0.4751170832161411,HOME,0.38420799230705016,True
2018,1,OAK,LA,-5.239508131740823,7.943190336058034,-20.0,-6.0,0.7604918682591766,True,True,"(-1, 1]",0.7604918682591766,0.2093830502451549,0.7906169497548451,-0.6002687222592498,0.5093596313501588,AWAY,0.5093596313501588,True
2018,1,DET,NYJ,8.46851500748052,7.943190336058034,-31.0,7.0,1.468515007480519,False,False,"(1, 2]",1.468515007480519,0.8671020001669738,0.1328979998330262,0.6553765457733136,-0.7462856366824046,HOME,0.6553765457733136,False
2018,1,GB,CHI,8.657984254608166,7.943190336058034,1.0,6.5,2.1579842546081665,True,True,"(2, 3]",2.1579842546081665,0.862243996085938,0.13775600391406195,0.6461021743458817,-0.7370112652549726,HOME,0.6461021743458817,True
2018,1,ARI,WAS,1.8060943480176608,7.943190336058034,-18.0,2.0,-0.1939056519823392,False,False,"(-1, 1]",0.1939056519823392,0.6078840088935171,0.3921159911064829,0.16050583516035088,-0.25141492606944177,HOME,0.16050583516035088,False
2018,1,LAC,KC,0.200491283592992,7.943190336058034,-10.0,3.5,-3.299508716407008,False,False,"(-5, -3]",3.299508716407008,0.6049617315932807,0.3950382684067193,0.1549269421326268,-0.2458360330417177,HOME,0.1549269421326268,False
2018,1,CAR,DAL,-6.152727607285056,7.943190336058034,8.0,2.5,-8.652727607285055,False,True,"(-15, -7]",8.652727607285055,0.39636195052987844,0.6036380494701216,-0.24330900353386847,0.15239991262477748,AWAY,0.15239991262477748,False
2018,1,NE,HOU,3.914233225413356,7.943190336058034,7.0,6.0,-2.085766774586644,True,True,"(-3, -2]",2.085766774586644,0.7621465048311008,0.2378534951688992,0.45500696376846517,-0.5459160546775561,HOME,0.45500696376846517,True
2018,1,MIN,SF,0.6607479578315469,7.943190336058034,8.0,6.0,-5.339252042168453,True,True,"(-7, -5]",5.339252042168453,0.6840912949798839,0.31590870502011614,0.3059924722343237,-0.3969015631434146,HOME,0.3059924722343237,True
2018,1,MIA,TEN,5.1190581833891535,7.943190336058034,7.0,-1.0,6.1190581833891535,True,False,"(5, 7]",6.1190581833891535,0.6165081705153759,0.3834918294846241,0.17697014371117215,-0.26787923462026303,HOME,0.17697014371117215,True
2018,1,CLE,PIT,-2.928808730427164,7.943190336058034,0.0,-3.5,0.5711912695728358,False,False,"(-1, 1]",0.5711912695728358,0.3218668412333169,0.6781331587666831,-0.3855269394636678,0.29461784855457684,AWAY,0.29461784855457684,False
2018,1,BAL,BUF,0.8884052859892271,7.943190336058034,44.0,7.5,-6.6115947140107725,True,True,"(-7, -5]",6.6115947140107725,0.7268976702721878,0.27310232972781223,0.38771373415599486,-0.47862282506508574,HOME,0.38771373415599486,True
2018,1,NO,TB,5.240022051910152,7.943190336058034,-8.0,10.0,-4.759977948089848,False,False,"(-5, -3]",4.759977948089848,0.8635390352789396,0.1364609647210604,0.6485745218961574,-0.7394836128052483,HOME,0.6485745218961574,True
2018,2,WAS,IND,1.3585119021260816,7.943190336058034,-12.0,6.0,-4.641488097873919,False,False,"(-5, -3]",4.641488097873919,0.7017246053994814,0.29827539460051855,0.3396560648535555,-0.4305651557626464,HOME,0.3396560648535555,False
2018,2,CHI,SEA,-0.8377841100886032,7.943190336058034,7.0,5.0,-5.837784110088603,False,True,"(-7, -5]",5.837784110088603,0.6176930327815442,0.3823069672184558,0.17923215349203891,-0.27014124440112985,HOME,0.17923215349203891,True
2018,2,DAL,NYG,9.407918727736376,7.943190336058034,7.0,3.0,6.4079187277363765,True,True,"(5, 7]",6.4079187277363765,0.8139692669499428,0.18603073305005724,0.5539413278135271,-0.6448504187226181,HOME,0.5539413278135271,True
2018,2,JAX,NE,-3.519893438878336,7.943190336058034,11.0,-2.0,-1.519893438878336,False,False,"(-2, -1]",1.519893438878336,0.34564760543022954,0.6543523945697705,-0.34012729872410724,0.24921820781501636,AWAY,0.24921820781501636,False
2018,2,DEN,OAK,4.298988593500248,7.943190336058034,1.0,5.5,-1.2010114064997524,True,True,"(-2, -1]",1.2010114064997524,0.7595742320038864,0.2404257679961136,0.45009626109832856,-0.5410053520074195,HOME,0.45009626109832856,True
2018,2,LA,ARI,7.334737231717918,7.943190336058034,34.0,13.5,-6.165262768282082,True,True,"(-7, -5]",6.165262768282082,0.9330423088070767,0.06695769119292327,0.7812625895407828,-0.8721716804498738,HOME,0.7812625895407828,True
2018,2,TEN,HOU,-1.6509331111164671,7.943190336058034,3.0,-3.5,1.8490668888835329,False,False,"(1, 2]",1.8490668888835329,0.3554844339291413,0.6445155660708587,-0.32134789886254844,0.2304388079534575,AWAY,0.2304388079534575,False
2018,2,SF,DET,3.890921060897987,7.943190336058034,3.0,6.0,-2.109078939102013,True,True,"(-3, -2]",2.109078939102013,0.7616273955163877,0.2383726044836123,0.4540159368949219,-0.5449250278040129,HOME,0.4540159368949219,True
2018,2,PIT,KC,-1.6767631266655458,7.943190336058034,-5.0,4.5,-6.176763126665546,True,False,"(-7, -5]",6.176763126665546,0.5804723639210188,0.41952763607898125,0.1081745129401267,-0.19908360384921764,HOME,0.1081745129401267,False
